,n,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Merge Sort,Best Case,8170,8813,23592,52950,101642,180054,278462,407150,583883,793723,992347,1383980,1708216,2031956,2688046
Merge Sort,Most Likely Case,1234,7919,24029,53571,104582,184910,292446,425857,613693,854894,1096211,1479162,1829019,2187391,2872961
Merge Sort,Worst Case,5973,8342,23503,52373,101621,178766,278044,406152,582563,791673,991199,1379695,1701934,2029255,2677357
Merge Sort (mt2),Best Case,25076,22315,31117,48456,76178,116939,173562,241216,336877,449889,651133,898827,1111142,1326580,1736135
Merge Sort (mt2),Most Likely Case,18049,22409,31483,49272,76878,121025,178262,253463,356821,523632,658146,880118,1092512,1315153,1733671
Merge Sort (mt2),Worst Case,19835,22467,31177,48167,75186,117684,171728,241175,336547,452407,660909,904382,1121456,1337382,1741710
Merge Sort (mt3),Best Case,35213,31967,42389,55020,79444,125354,174922,244268,341358,458465,674889,929872,1137246,1348459,1770329
Merge Sort (mt3),Most Likely Case,35761,33767,42020,55818,80211,125997,182741,257574,362458,571291,722832,986345,1221803,1467137,1914815
Merge Sort (mt3),Worst Case,34717,33402,41639,54816,79525,123526,176856,245674,340937,483024,679642,938272,1137074,1351616,1780222
Merge Sort (mt4),Best Case,35732,43867,55828,75010,105447,124194,171508,228074,311913,610556,609131,1000049,1216699,1424214,1860173
Merge Sort (mt4),Most Likely Case,35604,45217,57054,75134,90985,128626,176018,239825,324312,642659,647377,1046011,1294791,1534916,1987174
Merge Sort (mt4),Worst Case,34461,43423,54380,73435,108198,127114,175917,229014,308374,612159,613067,1004270,1214502,1433059,1871987
