,n,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Quick Sort (pivotType 1),Best Case,423,1437,4080,9476,19332,34408,55258,88474,129245,170243,231201,319864,380084,540662,662489
Quick Sort (pivotType 1),Most Likely Case,131,764,3424,8593,18466,34735,59533,89171,136230,195639,269910,348782,440013,613953,758829
Quick Sort (pivotType 1),Worst Case,351,1664,6834,25369,76199,209406,476583,1009223,1937966,3495630,6119328,10113747,15842223,24265320,36720871
Quick Sort (mt2),Best Case,28133,20178,20377,25025,29242,51425,80573,102442,165334,176196,260225,330018,399147,600489,619159
Quick Sort (mt2),Most Likely Case,16914,16535,17800,22769,32607,44957,68722,80647,134184,211851,291107,359762,388826,649931,588067
Quick Sort (mt2),Worst Case,19631,15874,16553,33952,86760,216764,478375,998027,1904191,3410222,5942395,9809519,15350784,23522463,35510307
Quick Sort (mt3),Best Case,39316,33709,33241,37568,38740,58327,75397,88190,131492,166515,204875,268000,329120,479688,512103
Quick Sort (mt3),Most Likely Case,16831,27004,28083,33227,37555,54873,73960,86957,141565,189997,225846,322155,354796,413236,590439
Quick Sort (mt3),Worst Case,27335,27331,33516,52959,104380,244444,509089,1031127,1938862,3451405,5992441,9873616,15418472,23631068,35649548
Quick Sort (mt4),Best Case,35472,45260,43171,49642,54986,67714,84619,109353,135435,162176,211824,282772,322807,458650,518358
Quick Sort (mt4),Most Likely Case,16865,39275,38233,42501,51761,61042,81204,93638,150682,170174,239030,275647,341008,413128,604248
Quick Sort (mt4),Worst Case,26479,43864,44038,60695,113907,260252,557974,1100260,2002891,3501702,6049910,9942270,15482091,23652100,35651239
